0,1,2,3,4,5,6,7,8,9,10,11
A,hJe,hC,,,,,,,,,
A,hJe,P,,,,,,,,,
A,hJe,hP,,,,,,,,,
A,S,hS,,,,,,,,,
A,S,C,,,,,,,,,
A,S,hC,,,,,,,,,
A,S,P,,,,,,,,,
A,S,hP,,,,,,,,,
A,hS,C,,,,,,,,,
A,hS,hC,,,,,,,,,
A,hS,P,,,,,,,,,
A,hS,hP,,,,,,,,,
A,C,hC,,,,,,,,,
A,C,P,,,,,,,,,
A,C,hP,,,,,,,,,
A,hC,P,,,,,,,,,
A,hC,hP,,,,,,,,,
A,P,hP,,,,,,,,,
hA,Je,hJe,,,,,,,,,
hA,Je,S,,,,,,,,,
hA,Je,hS,,,,,,,,,
hA,Je,C,,,,,,,,,
hA,Je,hC,,,,,,,,,
hA,Je,P,,,,,,,,,
hA,Je,hP,,,,,,,,,
hA,hJe,S,,,,,,,,,
hA,hJe,hS,,,,,,,,,
hA,hJe,C,,,,,,,,,
hA,hJe,hC,,,,,,,,,
hA,hJe,P,,,,,,,,,
hA,hJe,hP,,,,,,,,,
hA,S,hS,,,,,,,,,
hA,S,C,,,,,,,,,
hA,S,hC,,,,,,,,,
hA,S,P,,,,,,,,,
hA,S,hP,,,,,,,,,
hA,hS,C,,,,,,,,,
hA,hS,hC,,,,,,,,,
hA,hS,P,,,,,,,,,
hA,hS,hP,,,,,,,,,
hA,C,hC,,,,,,,,,
hA,C,P,,,,,,,,,
hA,C,hP,,,,,,,,,
hA,hC,P,,,,,,,,,
hA,hC,hP,,,,,,,,,
hA,P,hP,,,,,,,,,
Je,hJe,S,,,,,,,,,
Je,hJe,hS,,,,,,,,,
Je,hJe,C,,,,,,,,,
Je,hJe,hC,,,,,,,,,
Je,hJe,P,,,,,,,,,
Je,hJe,hP,,,,,,,,,
Je,S,hS,,,,,,,,,
Je,S,C,,,,,,,,,
Je,S,hC,,,,,,,,,
Je,S,P,,,,,,,,,
Je,S,hP,,,,,,,,,
Je,hS,C,,,,,,,,,
Je,hS,hC,,,,,,,,,
Je,hS,P,,,,,,,,,
Je,hS,hP,,,,,,,,,
Je,C,hC,,,,,,,,,
Je,C,P,,,,,,,,,
Je,C,hP,,,,,,,,,
Je,hC,P,,,,,,,,,
Je,hC,hP,,,,,,,,,
Je,P,hP,,,,,,,,,
